"obsid","xid","dist_pc","filter","wave","model_jy","star_jy","chi_star","ra_obs","de_obs"
1342231387,"* 19 LMi",28.8094771656084,"PACS100",100,0.0103601,0.0103601,,149.42055238349695,41.055546790741346
1342231387,"* 19 LMi",28.8094771656084,"PACS70",70,0.0210451,0.0210451,-0.197547,149.42055238349695,41.055546790741346
1342237460,"* 29 Ari",28.68880677514861,"PACS100",100,0.00580063,0.00580063,,38.22552030523904,15.034699145513562
1342237460,"* 29 Ari",28.68880677514861,"PACS70",70,0.0117672,0.0117672,0.625082,38.22552030523904,15.034699145513562
1342233372,"2MASS J08101691-4856291",5055.611729019211,"PACS100",100,0.0159128,0.0000179513,29.4824,122.57045690565789,-48.9414347000001
1342233372,"2MASS J08101691-4856291",5055.611729019211,"PACS70",70,0.0289006,0.0000362485,26.904,122.57045690565789,-48.9414347000001
1342265601,"CD-54 4621",110.61946902654869,"PACS100",100,0.00175391,0.000249808,-0.716606,183.14878042939569,-55.34095526286886
1342265601,"CD-54 4621",110.61946902654869,"PACS70",70,0.00342464,0.000504832,,183.14878042939569,-55.34095526286886
1342265609,"CD-52 5008",137.7410468319559,"PACS100",100,0.00476076,0.000326981,2.57304,185.63829744551396,-53.563641073797356
1342265609,"CD-52 5008",137.7410468319559,"PACS70",70,0.0071209,0.000662903,,185.63829744551396,-53.563641073797356
1342224188,"TWA 26",49.666489522854036,"PACS100",100,0.0000395637,0.0000395637,,174.96273956216177,-31.989373502802938
1342224188,"TWA 26",49.666489522854036,"PACS70",70,0.0000743936,0.0000743936,-2.87397,174.96273956216177,-31.989373502802938
1342239416,"V* AG Dor",34.18826795396892,"PACS100",100,0.00152078,0.00152078,,61.87246375602672,-52.57224049847264
1342239416,"V* AG Dor",34.18826795396892,"PACS70",70,0.00308027,0.00308027,0.0436346,61.87246375602672,-52.57224049847264
1342225244,"V* AR Lac",42.7715996578272,"PACS100",100,0.0104209,0.00813748,,332.16983469306894,45.74240328275885
1342225244,"V* AR Lac",42.7715996578272,"PACS70",70,0.0209102,0.0164885,1.80954,332.16983469306894,45.74240328275885
1342238095,"HD 8357",44.34589800443459,"PACS100",100,0.00563567,0.00468303,,20.736806339864305,7.4200350936836665
1342238095,"HD 8357",44.34589800443459,"PACS70",70,0.0116776,0.00947741,0.289847,20.736806339864305,7.4200350936836665
1342245708,"V* AS Dra",43.00076541362436,"PACS100",100,0.00158862,0.00158862,,185.54341296378118,73.24912348304157
1342245708,"V* AS Dra",43.00076541362436,"PACS70",70,0.00322994,0.00322994,1.42813,185.54341296378118,73.24912348304157
1342245708,"V* AS Dra",43.00076541362436,"PACS100",100,0.00158862,0.00158862,,185.54344954542262,73.24911921975462
1342245708,"V* AS Dra",43.00076541362436,"PACS70",70,0.00322994,0.00322994,1.42813,185.54344954542262,73.24911921975462
1342196038,"V* AU Mic",9.909820632246557,"PACS100",100,0.283048,0.00895718,,311.2906615805368,-31.3419425346869
1342196038,"V* AU Mic",9.909820632246557,"PACS70",70,0.239064,0.018129,26.2062,311.2906615805368,-31.3419425346869
1342223909,"BD+20 307",118.20330969267138,"PACS100",100,0.0104701,0.000453367,18.6805,28.709900863361597,21.306166966575105
1342223909,"BD+20 307",118.20330969267138,"PACS70",70,0.0288708,0.000917525,14.7965,28.709900863361597,21.306166966575105
1342223909,"BD+20 307",118.20330969267138,"PACS100",100,0.0104701,0.000453367,18.6805,28.709906645952742,21.306163822686262
1342223909,"BD+20 307",118.20330969267138,"PACS70",70,0.0288708,0.000917525,14.7965,28.709906645952742,21.306163822686262
1342225451,"BD+47 3700",566.57223796034,"PACS100",100,0.184947,0.000352409,32.7758,332.02378492487185,48.03599873884209
1342225451,"BD+47 3700",566.57223796034,"PACS70",70,0.336127,0.000707472,37.9635,332.02378492487185,48.03599873884209
1342269654,"BD-19 1062",66.94112528031596,"PACS100",100,0.000289806,0.000289806,,74.88365957105682,-19.29496747925861
1342269654,"BD-19 1062",66.94112528031596,"PACS70",70,0.000588995,0.000588995,3.52705,74.88365957105682,-19.29496747925861
1342269650,"BD-20 951",61.68574812475325,"PACS100",100,0.0230548,0.000514015,,73.2064850596778,-19.917193872220132
1342269650,"BD-20 951",61.68574812475325,"PACS70",70,0.0142739,0.00104634,10.2858,73.2064850596778,-19.917193872220132
1342233075,"V* BH CVn",46.14823736807373,"PACS100",100,0.0247215,0.0178373,,203.6995589589514,37.1823828747902
1342233075,"V* BH CVn",46.14823736807373,"PACS70",70,0.048205,0.0361497,5.08148,203.6995589589514,37.1823828747902
1342225491,"V* BK Psc",33.911639831255684,"PACS100",100,0.000692093,0.000692093,,9.927421797024145,10.653159636804796
1342225491,"V* BK Psc",33.911639831255684,"PACS70",70,0.00140494,0.00140494,0.686435,9.927421797024145,10.653159636804796
1342221346,"V* BP Psc",358.7572648346129,"PACS100",100,1.32788,0.00181294,39.462,350.6030530457958,-2.2282396266229836
1342221346,"V* BP Psc",358.7572648346129,"PACS70",70,2.21233,0.00355231,38.5657,350.6030530457958,-2.2282396266229836
1342270953,"V* BW Phe",37.07163723178671,"PACS100",100,0.00128044,0.00128044,,14.23165186694979,-51.875471904073116
1342270953,"V* BW Phe",37.07163723178671,"PACS70",70,0.00259907,0.00259907,2.39333,14.23165186694979,-51.875471904073116
1342232520,"* 42 Cap",35.23272979667192,"PACS100",100,0.0158529,0.0158529,,325.3864979107896,-14.048639645725961
1342232520,"* 42 Cap",35.23272979667192,"PACS70",70,0.0321377,0.0321377,3.84847,325.3864979107896,-14.048639645725961
1342225409,"CD-30 11814",514.2181313313107,"PACS100",100,0.027397,0.000319115,22.5188,223.86922714205426,-30.69904239559812
1342225409,"CD-30 11814",514.2181313313107,"PACS70",70,0.0519759,0.00064407,21.1154,223.86922714205426,-30.69904239559812
1342269256,"CD-30 2310",67.00796054571283,"PACS100",100,0.000262219,0.000262219,,79.62119252643274,-30.025600691111112
1342269256,"CD-30 2310",67.00796054571283,"PACS70",70,0.000529909,0.000529909,1.79675,79.62119252643274,-30.025600691111112
1342267591,"CD-31 16041",49.61474153200399,"PACS100",100,0.000499806,0.000499806,,282.6854207015093,-31.796761222158395
1342267591,"CD-31 16041",49.61474153200399,"PACS70",70,0.0010112,0.0010112,0.822176,282.6854207015093,-31.796761222158395
1342269648,"CD-36 1785",87.76857182979919,"PACS100",100,0.000160851,0.000160851,,68.71173094598238,-35.789205315185164
1342269648,"CD-36 1785",87.76857182979919,"PACS70",70,0.000327885,0.000327885,2.28544,68.71173094598238,-35.789205315185164
1342265518,"CD-42 2906",88.86598121373157,"PACS100",100,0.000178885,0.000178885,,105.47246577500977,-42.46547236819746
1342265518,"CD-42 2906",88.86598121373157,"PACS70",70,0.000360643,0.000360643,0.397797,105.47246577500977,-42.46547236819746
1342269658,"CD-43 3604",95.2662214558584,"PACS100",100,0.00025532,0.00025532,,117.20745787640548,-43.45144902333209
1342269658,"CD-43 3604",95.2662214558584,"PACS70",70,0.000517514,0.000517514,0.991678,117.20745787640548,-43.45144902333209
1342269250,"CD-52 1363",134.04466368193883,"PACS100",100,0.00338038,0.000159305,,87.75489516034628,-52.636798560740374
1342269250,"CD-52 1363",134.04466368193883,"PACS70",70,0.00463312,0.000324445,4.86475,87.75489516034628,-52.636798560740374
1342267766,"CD-52 9381",34.05460997255199,"PACS100",100,0.000585871,0.000585871,,301.8495703360527,-51.79143458879294
