obsid,xid,dist_pc,wave,star_mjy,chi_star,ra_obs,de_obs,level,path
1342186612,* bet Pic,19.44012441679627,70,30.683299999999996,17.6509,86.82122752789533,-51.06627613093949,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292694/1342186612/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0547_m5104_00_v1.0_1470446695527.fits.gz
1342186619,* alf Lyr,7.678722260615834,70,786.301,15.6826,279.2354497606305,38.78447975234844,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292695/1342186619/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_1837_p3847_00_v1.0_1470459933858.fits.gz
1342187075,* del Pav,6.108362348054486,100,74.0444,0.7088439999999999,302.18996313121056,-66.18518365958772,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292685/1342187075/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_green_2009_m6611_00_v1.0_1470425839613.fits.gz
1342187141,* q01 Eri,17.433751743375176,100,8.52161,17.2096,25.6230084076732,-53.741155746988106,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292687/1342187141/level2/HPPPMAPB/hpacs1342187141_20hpppmapb_00_1469223675154.fits.gz
1342187142,* q01 Eri,17.433751743375176,70,17.3643,17.0999,25.6230084076732,-53.741155746988106,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292689/1342187142/level2/HPPPMAPB/hpacs1342187142_20hpppmapb_00_1469222237189.fits.gz
1342187145,HD 211415,14.016811764029775,100,12.715700000000002,-2.52353,334.5671054542525,-53.62880876448593,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292690/1342187145/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_green_2218_m5338_00_v1.0_1470430547048.fits.gz
1342187248,2MASS J11015046+5622566,24.449877750611247,100,42.1132,13.0629,165.46074619730044,56.3825298426375,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292664/1342187248/level2/HPPPMAPB/hpacs1342187248_20hpppmapb_00_1469224771737.fits.gz
1342187255,* 51 Peg,15.607928827844546,100,10.378100000000002,0.812497,344.36719357272347,20.768997214352268,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292692/1342187255/level2/HPPPMAPB/hpacs1342187255_20hpppmapb_00_1469225267977.fits.gz
1342187338,2MASS J08431857-7905181,,70,5.94457,,130.82702720457107,-79.08831463525475,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292682/1342187338/level2/HPPPMAPB/hpacs1342187338_20hpppmapb_00_1469225756493.fits.gz
1342187342,V* TW Hya,59.52380952380952,70,2.14189,38.548,,,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292684/1342187342/level2/HPPPMAPB/hpacs1342187342_20hpppmapb_00_1469226680192.fits.gz
1342187364,* bet Leo,10.99989000109999,100,65.6321,14.5495,,,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292666/1342187364/level2/HPPPMAPB/hpacs1342187364_20hpppmapb_00_1469228027740.fits.gz
1342187365,* bet Leo,10.99989000109999,100,65.6321,14.5495,177.26349327036172,14.571742186625414,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292668/1342187365/level2/HPPPMAPB/hpacs1342187365_20hpppmapb_00_1469226870160.fits.gz
1342187365,2MASS J11490366+1434197,10.99989000109999,100,65.6321,14.5495,177.26349327036172,14.571742186625414,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292668/1342187365/level2/HPPPMAPB/hpacs1342187365_20hpppmapb_00_1469226870160.fits.gz
1342187805,* eta Crv,18.281535648994517,100,17.485400000000002,16.1602,,,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292670/1342187805/level2/HPPPMAPB/hpacs1342187805_20hpppmapb_00_1469231900903.fits.gz
1342187806,* eta Crv,18.281535648994517,100,17.485400000000002,16.1602,188.01638223424462,-16.19616838888465,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292672/1342187806/level2/HPPPMAPB/hpacs1342187806_20hpppmapb_00_1469228550974.fits.gz
1342187807,* alf02 CVn,35.198873636043636,100,20.180200000000003,-0.24295100000000003,,,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292674/1342187807/level2/HPPPMAPB/hpacs1342187807_20hpppmapb_00_1469231950545.fits.gz
1342187808,* alf02 CVn,35.198873636043636,100,20.180200000000003,-0.24295100000000003,194.00611027533162,38.31852486222476,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292676/1342187808/level2/HPPPMAPB/hpacs1342187808_20hpppmapb_00_1469228514727.fits.gz
1342187835,* sig Boo,15.832805573147562,100,15.3034,9.12425,,,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292678/1342187835/level2/HPPPMAPB/hpacs1342187835_20hpppmapb_00_1469228594838.fits.gz
1342188072,HD 119850,5.43526705641155,100,9.77432,-0.7528630000000001,,,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292680/1342188072/level2/HPPPMAPB/hpacs1342188072_20hpppmapb_00_1469231428867.fits.gz
1342188366,HD 203,39.38558487593541,70,6.407559999999999,14.8171,1.7089861711429772,-23.10767189166217,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292697/1342188366/level2/HPPPMAPB/hpacs1342188366_20hpppmapb_00_1469239072853.fits.gz
1342188367,HD 105,38.476337052712594,70,3.02242,22.1233,1.4693011525743336,-41.753280588898896,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292699/1342188367/level2/HPPPMAPB/hpacs1342188367_20hpppmapb_00_1469237285429.fits.gz
1342188368,BPM 16228,41.16073266104137,70,1.2376500000000001,2.46923,11.367754065524135,-51.62625655055606,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292701/1342188368/level2/HPPPMAPB/hpacs1342188368_20hpppmapb_00_1469238453238.fits.gz
1342188369,HD 1466,42.95532646048109,70,2.86554,8.51273,4.609408264333267,-63.47765918888974,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292702/1342188369/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0018_m6329_00_v1.0_1470497983585.fits.gz
1342188370,* eta Tuc,47.438330170777995,70,6.962280000000001,1.54948,359.39666553559266,-64.29840095833273,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292703/1342188370/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_2358_m6418_00_v1.0_1470497507110.fits.gz
1342188371,* eps Hyi,46.55493482309125,70,15.3517,0.47093900000000005,39.89799327340596,-68.26694705999999,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292705/1342188371/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0240_m6816_00_v1.0_1470497166323.fits.gz
1342188372,EXO 0235.2-5216,38.846567711509856,70,1.20767,0.5229590000000001,39.21588783957663,-52.051001230555535,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292706/1342188372/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0237_m5203_00_v1.0_1470497570637.fits.gz
1342188377,V* DK Cet,40.783034257748774,70,2.19227,6.6055,29.454383652519823,-21.901624002775744,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292707/1342188377/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0158_m2154_00_v1.0_1470498863467.fits.gz
1342188484,HD 3221,44.49883190566248,70,2.44542,1.38889,8.713864969533574,-61.91629344055361,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292710/1342188484/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0035_m6155_00_v1.0_1470504188436.fits.gz
1342188485,* 49 Cet,59.382422802850364,70,5.13685,29.6791,23.65768359600795,-15.676369391666563,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292713/1342188485/level2/HPPPMAPB/hpacs1342188485_20hpppmapb_00_1469240667540.fits.gz
1342188506,V* AO Men,39.2626474803196,70,1.9262400000000002,1.55577,94.6174641429302,-72.04463984500508,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292714/1342188506/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0618_m7203_00_v1.0_1470512437633.fits.gz
1342188507,HD 44627,50.20080321285141,70,1.4862,1.33988,94.80387937756737,-58.0541873000039,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292715/1342188507/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_0619_m5803_00_v1.0_1470511758102.fits.gz
1342188514,HD 298936,53.35040546308152,70,1.2326,0.470246,153.31126456425795,-52.51497382555596,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292716/1342188514/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_1013_m5231_00_v1.0_1470515450524.fits.gz
1342188515,V* CE Ant,34.02899951338531,70,2.34475,19.5707,160.62502855938834,-33.671229241666204,level2,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292718/1342188515/level2/HPPPMAPB/hpacs1342188515_20hpppmapb_00_1469242239716.fits.gz
1342188516,TWA 23,55.67060814572338,70,1.0834499999999998,1.25396,181.86382355579545,-32.78347566888656,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292719/1342188516/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_1207_m3247_00_v1.0_1470514516938.fits.gz
1342188517,V* V1249 Cen,53.11097538306293,70,1.2956599999999998,1.41418,183.87772345903446,-39.811913394997504,level2_5,/data/wyatt_archive/gkennedy/hsa/auto/AIOURL278292720/1342188517/level2_5/HPPHPFMAPB/hpacs_25HPPHPFMAPB_blue_1216_m3949_00_v1.0_1470514955504.fits.gz
